Label,Dataset,FileName
0,AS,AS_20190822_86805A.wav
0,AS,AS_20190822_4IZOM2.wav
0,AS,AS_20190822_OMU76J.wav
0,AS,AS_20190822_5Q2LR3.wav
0,AS,AS_20190822_FRJDO9.wav
0,AS,AS_20190823_A8ERCT.wav
0,AS,AS_20190823_95V57Q.wav
0,AS,AS_20190823_DA4TQN.wav
0,AS,AS_20190823_ZWFU52.wav
0,AS,AS_20190823_A53P86.wav
0,AS,AS_20190823_OHX35Q.wav
0,AS,AS_20190823_IRNK8H.wav
0,AS,AS_20190823_E1ZPYR.wav
0,AS,AS_20190823_TANML8.wav
0,AS,AS_20190823_CYA43U.wav
0,AS,AS_20190823_BXW6MQ.wav
0,AS,AS_20190823_Q3UXZZ.wav
0,AS,AS_20190823_LNWGYC.wav
0,AS,AS_20190823_ZP39QP.wav
0,AS,AS_20190823_BJL0YZ.wav
0,AS,AS_20190823_DH8W02.wav
0,AS,AS_20190823_PKJNUJ.wav
0,AS,AS_20190823_2BW89Q.wav
0,AS,AS_20190823_E12BQL.wav
0,AS,AS_20190823_UKE2QP.wav
0,AS,AS_20190823_T805PS.wav
0,AS,AS_20190823_EHXT0S.wav
0,AS,AS_20190823_UVVRLY.wav
0,AS,AS_20190823_YRQFJ4.wav
0,AS,AS_20190823_HOKWMC.wav
0,AS,AS_20190823_TU6YMG.wav
0,AS,AS_20190823_9IEUKS.wav
0,AS,AS_20190823_B1XUHY.wav
0,AS,AS_20190823_ZQWN2W.wav
0,AS,AS_20190823_Y5NAH1.wav
1,AS,AS_20210314_CYDGSG.wav
1,AS,AS_20210314_T37ZSZ.wav
1,AS,AS_20210314_0Z4ZZ0.wav
1,AS,AS_20210314_XJ5HAH.wav
1,AS,AS_20210314_KB9QOL.wav
1,AS,AS_20210314_PQJ0BN.wav
1,AS,AS_20210314_UXK8Q2.wav
0,AS,AS_20210314_SYZ9CE.wav
0,AS,AS_20210314_V8VSTC.wav
1,AS,AS_20210314_7PZYH7.wav
1,AS,AS_20210314_WR27NV.wav
1,AS,AS_20210314_6VIZHB.wav
1,AS,AS_20210314_L51H32.wav
1,AS,AS_20210314_92JL4V.wav
1,AS,AS_20210314_YG2ZJF.wav
1,AS,AS_20210314_6IX878.wav
1,AS,AS_20210314_88UKA3.wav
