FileName,Label,Dataset
MED_20041026_LJD7KM.wav,0,MED
MED_20041026_8ZB3IL.wav,0,MED
MED_20041026_65NX9P.wav,0,MED
MED_20041026_X963GL.wav,0,MED
MED_20041026_ULPIBY.wav,0,MED
MED_20041026_912I5S.wav,0,MED
MED_20041026_ARVHQ8.wav,0,MED
MED_20041011_RWXPYG.wav,1,MED
MED_20041124_0D4F81.wav,1,MED
MED_20041124_MYSRDW.wav,1,MED
MED_20041116_KEFU00.wav,1,MED
MED_20041116_J8WQ2Z.wav,1,MED
MED_20041117_HHE3VY.wav,1,MED
MED_20041027_9G3APR.wav,1,MED
MED_20041027_SNNA48.wav,1,MED
MED_20041027_3B6PH9.wav,1,MED
MED_20041026_KYR95F.wav,0,MED
MED_20041026_MI5QS2.wav,0,MED
MED_20041026_6WOWL6.wav,0,MED
MED_20041026_1ZJVSI.wav,0,MED
MED_20041026_FV49UF.wav,0,MED
MED_20041026_2NEUT1.wav,0,MED
MED_20041026_MFKG6N.wav,0,MED
MED_20041106_S43QHW.wav,0,MED
MED_20041106_ZC6J3E.wav,0,MED
MED_20041106_KPEMDF.wav,0,MED
MED_20041106_311GO1.wav,0,MED
MED_20041019_AL0BAL.wav,1,MED
MED_20041129_OL7K2V.wav,1,MED
MED_20041130_TPNZ5D.wav,1,MED
MED_20041130_V6GR2E.wav,1,MED
MED_20041130_UKNA0K.wav,1,MED
MED_20041116_6O6YHB.wav,1,MED
MED_20041116_24F8WV.wav,1,MED
MED_20041116_USGZDE.wav,1,MED
MED_20041119_50ZSY7.wav,1,MED
MED_20041026_S3JABO.wav,1,MED
MED_20041026_ZHTWAL.wav,1,MED
MED_20041121_0IHY89.wav,1,MED
MED_20041121_BWJRIP.wav,1,MED
MED_20041105_SVGB0V.wav,0,MED
MED_20041105_AESY3G.wav,0,MED
MED_20041105_96AO4B.wav,0,MED
MED_20041105_2V35X3.wav,0,MED
MED_20041105_VCSY4G.wav,0,MED
MED_20041105_XB5JU2.wav,0,MED
MED_20041105_1E1F7T.wav,0,MED
MED_20041013_8COR09.wav,1,MED
MED_20041020_CRY1XH.wav,1,MED
MED_20041020_URBU3M.wav,1,MED
MED_20041024_3IV4PS.wav,0,MED
MED_20041024_VJM2WY.wav,0,MED
MED_20041024_ILWG67.wav,0,MED
MED_20041024_EANLD2.wav,0,MED
MED_20041024_7S78J2.wav,0,MED
MED_20041024_XL5GTR.wav,0,MED
MED_20041024_ELMXR8.wav,0,MED
MED_20041028_L3191E.wav,1,MED
MED_20041028_YUQ9EK.wav,1,MED
MED_20041020_O3H8Y8.wav,0,MED
MED_20041020_UUCG8P.wav,0,MED
MED_20041020_HH401S.wav,0,MED
MED_20041020_300X57.wav,0,MED
MED_20041020_UC45N8.wav,0,MED
MED_20041020_NX9ACG.wav,0,MED
MED_20041020_T7YU59.wav,0,MED
MED_20041106_9ZJ7JJ.wav,1,MED
MED_20041106_PFAD30.wav,1,MED
MED_20041012_W8AVBM.wav,1,MED
MED_20041012_EB0AR4.wav,1,MED
MED_20041104_2VIKE3.wav,1,MED
MED_20041104_V8QVY4.wav,1,MED
MED_20041103_Q8WT75.wav,1,MED
MED_20041103_M1EA3L.wav,1,MED
MED_20041103_0FJYV6.wav,1,MED
MED_20041119_U9WXF3.wav,1,MED
MED_20041119_P2PWKD.wav,1,MED
MED_20041119_MUNMMO.wav,1,MED
MED_20041119_NBI4RS.wav,1,MED
MED_20041020_RKVID7.wav,1,MED
MED_20041020_ULLHFA.wav,1,MED
MED_20041020_KM7HQK.wav,1,MED
MED_20041124_XLFO5F.wav,1,MED
MED_20041124_TTR1VD.wav,1,MED
