epoch,train_loss,val_loss,val_accuracy,val_fscore,val_precision,val_recalls
0,0.0875167055177323,0.6899219339101035,tensor(51.7888),0.42884872868086293,0.5652259509977497,0.5178875638841567
1,0.08670989618572394,0.6897925837076503,tensor(52.9813),0.4601353602209343,0.574438520845478,0.5298126064735945
2,0.08652228488902045,0.689923878625873,tensor(52.3850),0.4521362475179097,0.5629514524018555,0.5238500851788757
3,0.0861438228714432,0.6843486587680381,tensor(56.0477),0.5437941263893781,0.574891700216537,0.5604770017035775
4,0.08603409540741054,0.6870010638358849,tensor(53.5775),0.5169960877280683,0.5463849712524042,0.5357751277683135
5,0.08568086969710852,0.6853807021243405,tensor(53.8330),0.5007209958366934,0.5616588692397891,0.5383304940374787
6,0.08570189383527853,0.6903172197293179,tensor(51.0221),0.42022565086303265,0.544040014838057,0.510221465076661
7,0.085533260241646,0.6822265681050705,tensor(55.4514),0.521295637062811,0.581988479047047,0.5545144804088586
8,0.08524810832311401,0.6840252888466675,tensor(54.4293),0.5139529773067166,0.5648607474386034,0.5442930153321976
9,0.08485824867148738,0.676697631101592,tensor(58.4327),0.5835031947431674,0.5859542486553222,0.5843270868824532
10,0.08420627096724177,0.6803176086237321,tensor(57.9216),0.5632447644115363,0.5969875660586603,0.5792163543441227
11,0.08398604518469967,0.6777748042111502,tensor(58.8586),0.5819792724915264,0.5971549334227294,0.5885860306643952
12,0.08419933327695084,0.6801873614069144,tensor(57.2402),0.5539995778280074,0.5912138431899832,0.5724020442930153
13,0.08414804392372857,0.6770709824115292,tensor(58.3475),0.5750209630810439,0.5936088176049573,0.5834752981260647
14,0.08405278833481337,0.6776188853652149,tensor(58.5179),0.5738325691848258,0.59880141400726,0.5851788756388415
15,0.08397437224548,0.6778592173854171,tensor(58.0068),0.5667895675185984,0.5950076500657271,0.580068143100511
16,0.08399006464018569,0.6781596621622219,tensor(57.2402),0.5502736715361394,0.5952532570394587,0.5724020442930153
17,0.08357948368607634,0.6774475988781229,tensor(57.7513),0.5559995071317163,0.6012482784221079,0.5775127768313458
18,0.08336493836688091,0.6771789663288825,tensor(57.6661),0.5556252716821884,0.5995729068480241,0.5766609880749574
19,0.08356782910053469,0.6744315331798599,tensor(58.8586),0.5745109881700007,0.606094314730781,0.5885860306643952
20,0.08330704168957205,0.6747488668870683,tensor(59.2845),0.577390682973106,0.6130572866711136,0.5928449744463373
21,0.0834066471001776,0.6746877037889912,tensor(58.9438),0.5744235454627278,0.6083103115796541,0.5894378194207837
22,0.08320835396286742,0.6746242598739962,tensor(58.9438),0.574703843389036,0.6079531972909644,0.5894378194207837
23,0.08343324157962619,0.674664385274078,tensor(58.9438),0.5744235454627278,0.6083103115796541,0.5894378194207837
24,0.0835468233160427,0.6750347618349976,tensor(58.6031),0.5694344123477969,0.6061178187112912,0.58603066439523
