epoch,train_loss,val_loss,val_accuracy,val_fscore,val_precision,val_recalls
0,0.08222011852364776,0.6085318993059903,tensor(65.2470),0.6331530188933534,0.6814135693007983,0.6524701873935264
1,0.07297956930965503,0.5826773371363417,tensor(67.8876),0.6764126944959381,0.6811940019644739,0.6788756388415673
2,0.06973930087022863,0.5528882337794393,tensor(70.1022),0.7009954325678512,0.7009778768117175,0.7010221465076661
3,0.06590097783257452,0.5571928678216885,tensor(69.3356),0.6929847313248578,0.6932954031575983,0.6933560477001703
4,0.06285342301234072,0.5145308361650529,tensor(74.1908),0.7419486699614632,0.7420420845596177,0.74190800681431
5,0.06082291431739588,0.5280153806205502,tensor(73.3390),0.7291368372942251,0.7434016921099834,0.7333901192504259
6,0.05851759600148239,0.5224359874221698,tensor(74.5315),0.7393594397610892,0.7626774825340223,0.7453151618398637
7,0.0568530458809648,0.48815465217148424,tensor(75.4685),0.7525296882709032,0.7598822857513672,0.7546848381601363
8,0.056948113344680314,0.500835412710245,tensor(74.7019),0.7466618857882706,0.7511994539035238,0.7470187393526405
9,0.05503346683064577,0.48472024604449687,tensor(75.2129),0.7521685246164548,0.7522610567769727,0.752129471890971
10,0.05105602750203212,0.4601408944320841,tensor(77.0017),0.7676820665378649,0.7768667571067057,0.7700170357751278
11,0.04933799017534957,0.4645353838979081,tensor(76.7462),0.766952823997885,0.7681489346293414,0.7674616695059625
12,0.04925634383868497,0.4697472076399769,tensor(76.0647),0.7607072822450771,0.7613511105673687,0.7606473594548552
13,0.04879341360644781,0.46619079557756754,tensor(76.4054),0.7639408016798568,0.7640147720246137,0.7640545144804088
14,0.04844773125781133,0.4670977629023069,tensor(76.4054),0.7640334325393013,0.7640223352164355,0.7640545144804088
15,0.04813681536376109,0.4620584669369043,tensor(76.7462),0.767467918234619,0.7674752810034393,0.7674616695059625
16,0.047804471550624436,0.4603646988052323,tensor(76.9165),0.7691446217261756,0.7691340480600611,0.7691652470187393
17,0.046987342863150275,0.45864365101368304,tensor(77.0017),0.7699167361780023,0.7699775906437814,0.7700170357751278
18,0.04706669957848209,0.46020892496003407,tensor(77.3424),0.7731788932493376,0.7735822608430085,0.7734241908006815
19,0.0466847870694374,0.46123016048127585,tensor(77.2572),0.7716729902907649,0.7744593467145072,0.772572402044293
20,0.04630819253859852,0.4589991082121607,tensor(77.7683),0.7773991814405585,0.7779412209569628,0.7776831345826235
21,0.0455719485101512,0.4599971099545643,tensor(77.5128),0.7749629333079023,0.7751634183533673,0.7751277683134583
22,0.045897272041445836,0.45961354096662854,tensor(77.3424),0.7733451511193392,0.7733784948298329,0.7734241908006815
23,0.04584291303557501,0.46116444641118154,tensor(77.1721),0.7716409793232442,0.7716734800251314,0.7717206132879046
24,0.04571399680117417,0.4592491123298567,tensor(77.4276),0.7740725513649912,0.7743660513210717,0.7742759795570698
25,0.04569566147683384,0.4609900216430781,tensor(77.1721),0.7716927523343003,0.7716828220323021,0.7717206132879046
26,0.04506091787624746,0.4594825859827321,tensor(77.5128),0.7749865037658655,0.7751338017675322,0.7751277683134583
27,0.045695317345370995,0.46245634829977705,tensor(77.0869),0.7708862957605588,0.7709138367628943,0.7708688245315162
28,0.04554919912624746,0.45995428523578674,tensor(77.4276),0.7741455143432536,0.7742683524421211,0.7742759795570698
29,0.04588208896130516,0.46352361627494254,tensor(77.3424),0.7734465667084099,0.7734869029389848,0.7734241908006815
30,0.04557176038495151,0.4632048244878421,tensor(77.3424),0.7734465667084099,0.7734869029389848,0.7734241908006815
31,0.045886874682848446,0.4625970279540886,tensor(77.2572),0.7725897433757218,0.7726171767832714,0.772572402044293
32,0.04589919917763776,0.4624352711022814,tensor(77.1721),0.7717206132879046,0.7717206132879046,0.7717206132879046
33,0.04524286706328231,0.46211405359906677,tensor(77.0869),0.7708483514551339,0.7708379523412698,0.7708688245315162
34,0.04551123454326652,0.46184437715621374,tensor(77.2572),0.7725203478090146,0.7725232826297427,0.772572402044293
35,0.045458958679850774,0.4622782545967037,tensor(77.2572),0.7725520811840919,0.7725418566224784,0.772572402044293
36,0.045577009536864756,0.4623899275287859,tensor(77.2572),0.7725520811840919,0.7725418566224784,0.772572402044293
37,0.04544492270458625,0.46221390463018336,tensor(77.2572),0.7725520811840919,0.7725418566224784,0.772572402044293
38,0.04519676721251974,0.46223104147326194,tensor(77.2572),0.7725520811840919,0.7725418566224784,0.772572402044293
39,0.04516024339326323,0.4621601765261395,tensor(77.1721),0.7716927523343003,0.7716828220323021,0.7717206132879046
