,FileName,Label,Dataset,SNR_999,training
0,AS_20190823_7YCEIY.wav,0,AS,8.82425737510619,0
1,AS_20190823_9H34N3.wav,0,AS,9.32432808471386,1
2,AS_20190823_JO5LSG.wav,0,AS,10.2381287981327,1
3,AS_20190823_KMRF7F.wav,0,AS,9.44481452100069,0
4,AS_20190824_84PDTA.wav,0,AS,8.07008701125795,1
5,AS_20190824_9BHV4O.wav,0,AS,8.92927490027422,1
6,AS_20190824_NMWJ26.wav,0,AS,8.02365065806013,1
7,AS_20190824_NOBH6R.wav,0,AS,9.41356125653729,0
8,AS_20190824_RRWHWU.wav,0,AS,8.2442611078607,1
9,AS_20190824_SJ2LHQ.wav,0,AS,11.8448636283398,1
10,AS_20190825_8KDIAR.wav,0,AS,11.2847497765927,1
11,AS_20190825_A9KF1P.wav,0,AS,8.15804063245464,1
12,AS_20190825_GDGUUJ.wav,0,AS,8.25228702139953,1
13,AS_20190825_W0PBAU.wav,0,AS,8.02607139929625,1
14,AS_20190826_3RUIOA.wav,0,AS,10.2909740977083,0
15,AS_20190827_02TYX2.wav,0,AS,9.02965945542818,1
16,AS_20190827_0RRIVT.wav,0,AS,11.4441143839244,1
17,AS_20190827_1TEAMO.wav,0,AS,9.63643532503323,1
18,AS_20190827_4FJKLS.wav,0,AS,10.0182317682762,1
19,AS_20190827_5LX5O4.wav,0,AS,10.386940459671,1
20,AS_20190827_8BTK4H.wav,0,AS,9.36209910876313,1
21,AS_20190827_9XSPRR.wav,0,AS,9.99389041038934,1
22,AS_20190827_ASS47E.wav,0,AS,11.0295458555701,1
23,AS_20190827_C2OP6W.wav,0,AS,9.27957697296263,0
24,AS_20190827_E1V5N2.wav,0,AS,9.72178310115836,1
25,AS_20190827_I37KSD.wav,0,AS,9.58255062171413,1
26,AS_20190827_K33PJS.wav,0,AS,10.018133457439,1
27,AS_20190827_KC263G.wav,0,AS,10.6561519489558,1
28,AS_20190827_LINCTQ.wav,0,AS,9.71294771206543,1
29,AS_20190827_OZITJI.wav,0,AS,10.652173830183,1
30,AS_20190827_PBVEGT.wav,0,AS,8.35999755111859,1
31,AS_20190827_QY038V.wav,0,AS,10.7488045168312,1
32,AS_20190827_SYZSA3.wav,0,AS,10.280328827997,1
33,AS_20190827_U33B9J.wav,0,AS,10.3315518783625,1
34,AS_20190827_UR7ZMS.wav,0,AS,10.06531049175,0
35,AS_20190827_WPNF8W.wav,0,AS,11.4333329505949,1
36,AS_20190827_ZFVSGF.wav,0,AS,10.3294550454818,1
37,AS_20190827_ZJ63R2.wav,0,AS,9.0605033171112,1
38,AS_20190828_GSG8Y6.wav,0,AS,10.4227144681318,1
39,AS_20190828_KGRUI2.wav,0,AS,11.795151047528,1
40,AS_20190828_N4Q5JU.wav,0,AS,10.3526171950608,1
41,AS_20190828_NP97BX.wav,0,AS,10.8843853934274,1
42,AS_20190828_P36QSF.wav,0,AS,11.0711368757567,1
43,AS_20190828_QT4FDN.wav,0,AS,11.8376694463851,1
44,AS_20190828_RSPRQH.wav,0,AS,11.3635838945238,1
45,AS_20190828_SSLRX0.wav,0,AS,11.7470594270114,1
46,AS_20190828_UBPD9J.wav,0,AS,10.1150041877569,1
47,AS_20190828_UY0IPQ.wav,0,AS,10.2027485295815,1
48,AS_20190828_WL8Y5A.wav,0,AS,10.6765129867441,1
49,AS_20190828_WQTWZF.wav,0,AS,9.80537782964736,1
50,AS_20190828_YSXUZ7.wav,0,AS,10.3800821162706,1
51,AS_20190901_9A7JU6.wav,0,AS,9.97865136147748,0
52,AS_20190901_BNFCX3.wav,0,AS,8.96747546892053,1
53,AS_20190901_JTX6XC.wav,0,AS,9.86277085679125,1
54,AS_20190901_QEA8FL.wav,0,AS,9.00807967579045,1
55,AS_20190901_Y63A1N.wav,0,AS,11.3566197719135,1
56,AS_20190902_10C88N.wav,0,AS,9.88208055050016,1
