Unnamed: 0,Label,Dataset,FileName,training,output
0,0,AS,AS_20190822_86805A.wav,1,0.401096067397221
1,0,AS,AS_20190822_4IZOM2.wav,1,0.32219063619005517
2,0,AS,AS_20190822_OMU76J.wav,0,0.05828082802823673
3,0,AS,AS_20190822_5Q2LR3.wav,0,0.2712041985508769
4,0,AS,AS_20190822_FRJDO9.wav,1,0.22914222587517546
5,0,AS,AS_20190823_A8ERCT.wav,1,0.2565295790854507
6,0,AS,AS_20190823_95V57Q.wav,1,0.15105306462172394
7,0,AS,AS_20190823_DA4TQN.wav,0,0.28293422827827003
8,0,AS,AS_20190823_ZWFU52.wav,1,0.1331063233922973
9,0,AS,AS_20190823_A53P86.wav,1,0.2652688112029642
10,0,AS,AS_20190823_OHX35Q.wav,0,0.022289822232895384
11,0,AS,AS_20190823_IRNK8H.wav,1,0.20495621440154987
12,0,AS,AS_20190823_E1ZPYR.wav,1,0.15138448505077698
13,0,AS,AS_20190823_TANML8.wav,1,0.19603571294840816
14,0,AS,AS_20190823_CYA43U.wav,1,0.29096837319014307
15,0,AS,AS_20190823_BXW6MQ.wav,0,0.35086922462099646
16,0,AS,AS_20190823_Q3UXZZ.wav,1,0.16794401270864007
17,0,AS,AS_20190823_LNWGYC.wav,1,0.22594935431207955
18,0,AS,AS_20190823_ZP39QP.wav,1,0.10953366933810778
19,0,AS,AS_20190823_BJL0YZ.wav,1,0.07406130226930582
20,0,AS,AS_20190823_DH8W02.wav,1,0.08113148414649968
21,0,AS,AS_20190823_PKJNUJ.wav,1,0.10255088115197977
22,0,AS,AS_20190823_2BW89Q.wav,0,0.2061942288204591
23,0,AS,AS_20190823_E12BQL.wav,1,0.1415446429425562
24,0,AS,AS_20190823_UKE2QP.wav,1,0.09662879105409515
25,0,AS,AS_20190823_T805PS.wav,1,0.17925552092454633
26,0,AS,AS_20190823_EHXT0S.wav,1,0.44335000645270944
27,0,AS,AS_20190823_UVVRLY.wav,1,0.2501354873032844
28,0,AS,AS_20190823_YRQFJ4.wav,1,0.3471930057434942
29,0,AS,AS_20190823_HOKWMC.wav,1,0.17513856050232307
30,0,AS,AS_20190823_TU6YMG.wav,1,0.4371735587809552
31,0,AS,AS_20190823_9IEUKS.wav,1,0.3015143183067551
32,0,AS,AS_20190823_B1XUHY.wav,1,0.2840743802937926
33,0,AS,AS_20190823_ZQWN2W.wav,1,0.05689772615255485
34,0,AS,AS_20190823_Y5NAH1.wav,1,0.25767391579741744
35,1,AS,AS_20210314_CYDGSG.wav,0,0.9590133818684661
36,1,AS,AS_20210314_T37ZSZ.wav,1,0.8941181029546977
37,1,AS,AS_20210314_0Z4ZZ0.wav,1,0.9440772686516875
38,1,AS,AS_20210314_XJ5HAH.wav,1,0.9257301073363218
39,1,AS,AS_20210314_KB9QOL.wav,1,0.998231326045035
40,1,AS,AS_20210314_PQJ0BN.wav,1,0.9810534043573844
41,1,AS,AS_20210314_UXK8Q2.wav,1,0.9629909055213047
42,0,AS,AS_20210314_SYZ9CE.wav,1,0.9957896864681343
43,0,AS,AS_20210314_V8VSTC.wav,1,0.9510977525164988
44,1,AS,AS_20210314_7PZYH7.wav,1,0.9857952593233682
45,1,AS,AS_20210314_WR27NV.wav,1,0.9345279625734242
46,1,AS,AS_20210314_6VIZHB.wav,1,0.9478033005513187
47,1,AS,AS_20210314_L51H32.wav,1,0.8451986840259988
48,1,AS,AS_20210314_92JL4V.wav,1,0.9596891133522898
49,1,AS,AS_20210314_YG2ZJF.wav,1,0.9497635512624932
50,1,AS,AS_20210314_6IX878.wav,1,0.9843312815862363
51,1,AS,AS_20210314_88UKA3.wav,1,0.7456054642533292
52,1,AS,AS_20210314_2R20UE.wav,1,0.9755447681942736
53,1,AS,AS_20210314_D4A5KK.wav,1,0.9825089072229126
54,1,AS,AS_20210314_CDYTL4.wav,1,0.9217732961868079
55,1,AS,AS_20210314_2G61KL.wav,1,0.943104605596594
56,1,AS,AS_20210314_FBAQG3.wav,1,0.5363947424445591
57,1,AS,AS_20210314_6JOU4D.wav,1,0.9186532763097023
58,1,AS,AS_20210314_APZIQ8.wav,1,0.9149799961284008
59,1,AS,AS_20210314_5I139I.wav,1,0.9940026457122152
60,1,AS,AS_20210314_8DDMZ1.wav,1,0.9194581106915177
61,1,AS,AS_20210314_E6NYUT.wav,1,0.8265265392005129
62,1,AS,AS_20210314_0DSNE8.wav,1,0.917130153803904
63,1,AS,AS_20210314_WWMXPE.wav,1,0.9888964686897967
64,1,AS,AS_20210314_6Y8RVN.wav,1,0.9531176879417638
65,1,AS,AS_20210314_HBL8YF.wav,1,0.9478031946260513
66,1,AS,AS_20210314_HG4TBG.wav,1,0.8770526723455672
67,1,AS,AS_20210314_MJQIDX.wav,1,0.981562403378138
68,1,AS,AS_20210314_D8EA6J.wav,1,0.9220659086107977
69,1,AS,AS_20210314_QBIK20.wav,1,0.9794758180409755
