Unnamed: 0,Label,Dataset,FileName,training,output
0,0,AS,AS_20190822_86805A.wav,1,0.44126749239370905
1,0,AS,AS_20190822_4IZOM2.wav,1,0.28337563838031254
2,0,AS,AS_20190822_OMU76J.wav,0,0.3886292811445497
3,0,AS,AS_20190822_5Q2LR3.wav,0,0.7416854612582441
4,0,AS,AS_20190822_FRJDO9.wav,1,0.262689275011217
5,0,AS,AS_20190823_A8ERCT.wav,1,0.3237282754910204
6,0,AS,AS_20190823_95V57Q.wav,1,0.4559190678024208
7,0,AS,AS_20190823_DA4TQN.wav,0,0.674110484742834
8,0,AS,AS_20190823_ZWFU52.wav,1,0.6240360209641714
9,0,AS,AS_20190823_A53P86.wav,1,0.6023708029828224
10,0,AS,AS_20190823_OHX35Q.wav,0,0.6916234922893528
11,0,AS,AS_20190823_IRNK8H.wav,1,0.36433349506348506
12,0,AS,AS_20190823_E1ZPYR.wav,1,0.26927738262966755
13,0,AS,AS_20190823_TANML8.wav,1,0.540948884936933
14,0,AS,AS_20190823_CYA43U.wav,1,0.40195659606048034
15,0,AS,AS_20190823_BXW6MQ.wav,0,0.5156290631241889
16,0,AS,AS_20190823_Q3UXZZ.wav,1,0.38183306315517984
17,0,AS,AS_20190823_LNWGYC.wav,1,0.41348875997006257
18,0,AS,AS_20190823_ZP39QP.wav,1,0.24167141429645425
19,0,AS,AS_20190823_BJL0YZ.wav,1,0.47601141468174424
20,0,AS,AS_20190823_DH8W02.wav,1,0.18553136437056492
21,0,AS,AS_20190823_PKJNUJ.wav,1,0.42508535584919616
22,0,AS,AS_20190823_2BW89Q.wav,0,0.3202552112521884
23,0,AS,AS_20190823_E12BQL.wav,1,0.4460117411970053
24,0,AS,AS_20190823_UKE2QP.wav,1,0.4716401154296212
25,0,AS,AS_20190823_T805PS.wav,1,0.22916235856456293
26,0,AS,AS_20190823_EHXT0S.wav,1,0.4728781005443958
27,0,AS,AS_20190823_UVVRLY.wav,1,0.4033123157196981
28,0,AS,AS_20190823_YRQFJ4.wav,1,0.2916105314194727
29,0,AS,AS_20190823_HOKWMC.wav,1,0.6538395137819766
30,0,AS,AS_20190823_TU6YMG.wav,1,0.33532648088639905
31,0,AS,AS_20190823_9IEUKS.wav,1,0.5367627020606001
32,0,AS,AS_20190823_B1XUHY.wav,1,0.3884188690201592
33,0,AS,AS_20190823_ZQWN2W.wav,1,0.5002444676385271
34,0,AS,AS_20190823_Y5NAH1.wav,1,0.3987612045273323
35,1,AS,AS_20210314_CYDGSG.wav,0,0.44733739640731984
36,1,AS,AS_20210314_T37ZSZ.wav,1,0.7455916875004689
37,1,AS,AS_20210314_0Z4ZZ0.wav,1,0.8661514996434909
