,FileName,Label,Dataset,training
0,MF20041026_225802.wav,0,IFAW,1
1,MF20041026_230202.wav,0,IFAW,1
2,MF20041026_230602.wav,0,IFAW,1
3,MF20041026_231002.wav,0,IFAW,1
4,MF20041026_231402.wav,0,IFAW,1
5,MF20041026_231802.wav,0,IFAW,1
6,MF20041026_232202.wav,0,IFAW,1
7,MF20041011_022824.wav,1,IFAW,1
8,MF20041124_052848.wav,1,IFAW,0
9,MF20041124_053648.wav,1,IFAW,0
10,MF20041116_014103.wav,1,IFAW,1
11,MF20041116_014903.wav,1,IFAW,1
12,MF20041117_081949.wav,1,IFAW,1
13,MF20041027_121153.wav,1,IFAW,0
14,MF20041027_121953.wav,1,IFAW,0
15,MF20041027_122753.wav,1,IFAW,0
16,MF20041026_061822.wav,0,IFAW,1
17,MF20041026_062222.wav,0,IFAW,0
18,MF20041026_062622.wav,0,IFAW,1
19,MF20041026_063022.wav,0,IFAW,1
20,MF20041026_063422.wav,0,IFAW,0
21,MF20041026_063822.wav,0,IFAW,1
22,MF20041026_064222.wav,0,IFAW,1
23,MF20041106_154514.wav,0,IFAW,0
24,MF20041106_154914.wav,0,IFAW,1
25,MF20041106_155314.wav,0,IFAW,1
26,MF20041106_155714.wav,0,IFAW,1
27,MF20041019_173945.wav,1,IFAW,1
28,MF20041129_234534.wav,1,IFAW,1
29,MF20041130_000134.wav,1,IFAW,1
30,MF20041130_000534.wav,1,IFAW,1
31,MF20041130_000934.wav,1,IFAW,0
32,MF20041116_170506.wav,1,IFAW,1
33,MF20041116_170906.wav,1,IFAW,1
34,MF20041116_171306.wav,1,IFAW,0
35,MF20041119_224015.wav,1,IFAW,1
36,MF20041026_213441.wav,1,IFAW,1
37,MF20041026_214641.wav,1,IFAW,0
38,MF20041121_032924.wav,1,IFAW,0
39,MF20041121_033724.wav,1,IFAW,1
40,MF20041105_143002.wav,0,IFAW,0
41,MF20041105_143402.wav,0,IFAW,1
42,MF20041105_143802.wav,0,IFAW,0
43,MF20041105_144202.wav,0,IFAW,1
44,MF20041105_144602.wav,0,IFAW,1
45,MF20041105_145002.wav,0,IFAW,1
46,MF20041105_145402.wav,0,IFAW,1
47,MF20041013_210154.wav,1,IFAW,1
48,MF20041020_012509.wav,1,IFAW,1
49,MF20041020_012909.wav,1,IFAW,1
50,MF20041024_024446.wav,0,IFAW,0
51,MF20041024_024846.wav,0,IFAW,0
52,MF20041024_025246.wav,0,IFAW,1
53,MF20041024_025646.wav,0,IFAW,1
54,MF20041024_030046.wav,0,IFAW,1
55,MF20041024_030446.wav,0,IFAW,1
56,MF20041024_030846.wav,0,IFAW,1
57,MF20041028_015844.wav,1,IFAW,0
58,MF20041028_020644.wav,1,IFAW,1
59,MF20041020_224341.wav,0,IFAW,1
60,MF20041020_224741.wav,0,IFAW,1
61,MF20041020_225141.wav,0,IFAW,1
62,MF20041020_225541.wav,0,IFAW,0
63,MF20041020_225941.wav,0,IFAW,0
64,MF20041020_230341.wav,0,IFAW,1
65,MF20041020_230741.wav,0,IFAW,0
66,MF20041106_120444.wav,1,IFAW,1
67,MF20041106_120844.wav,1,IFAW,1
68,MF20041012_101108.wav,1,IFAW,1
69,MF20041012_101508.wav,1,IFAW,1
70,MF20041104_143546.wav,1,IFAW,1
71,MF20041104_145946.wav,1,IFAW,1
72,MF20041103_230926.wav,1,IFAW,1
73,MF20041103_232126.wav,1,IFAW,1
74,MF20041103_232526.wav,1,IFAW,1
75,MF20041119_110514.wav,1,IFAW,1
76,MF20041119_110914.wav,1,IFAW,0
77,MF20041119_111314.wav,1,IFAW,1
78,MF20041119_112114.wav,1,IFAW,1
79,MF20041020_045246.wav,1,IFAW,1
80,MF20041020_050046.wav,1,IFAW,1
81,MF20041020_050446.wav,1,IFAW,1
82,MF20041124_104618.wav,1,IFAW,1
83,MF20041124_105418.wav,1,IFAW,1
84,MF20041124_105818.wav,1,IFAW,1
85,MF20041116_193422.wav,1,IFAW,0
86,MF20041116_194622.wav,1,IFAW,1
87,MF20041116_195022.wav,1,IFAW,0
88,MF20041124_044232.wav,1,IFAW,1
